f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,Anomaly,Anomaly_Score
1.8753474,0.58675694,1.9682323,-1.6266235,0.58558005,0.26861775,2.291169,0.95805436,-0.10253365,1.1443646,1.5811142,3.8499255,0.83900565,-1.4016619,1.9286788,-1.3818488,0.3127096,0.4458823,0.11415322,2.0958831,0,-0.04123718814351868
2.061095,-0.433544,0.84283686,0.13589989,0.460137,0.62193036,0.4602454,-0.16224656,1.0812992,0.72211385,0.8697408,2.639795,0.96345466,-0.8638968,-0.2366489,0.30887842,-1.8470453,0.9676449,0.09874247,1.1620622,0,-0.09777675498062349
3.4559503,-1.2704697,2.382859,-0.0015031749,0.2511927,1.4405187,0.6197742,1.8031219,0.01990133,-0.031177847,2.2042406,4.703807,-1.3566185,-0.5640208,-0.034518495,0.20436506,0.9650289,1.4817468,1.0825142,2.6777446,0,-0.05689611621993257
0.5436794,0.5067599,0.08767261,-0.21500576,-0.69489586,0.28005764,0.25071675,-1.7268583,0.08783544,-1.008512,1.0851551,1.8086004,-0.64173746,-1.2711707,-0.90182114,0.70784324,-0.3427984,0.085805185,-0.529548,1.0069919,0,-0.09985777580583444
3.574631,1.6348611,-0.120433085,0.05404814,1.03088,0.11662454,1.6298691,0.5600215,3.6402934,0.9909328,3.5843716,2.1952798,-0.16730443,-1.771841,-0.6982105,-0.67402655,0.944927,-0.12006786,-0.49662086,-0.9115573,0,-0.02845861181583692
0.7176225,0.6318112,3.0087113,-0.6829825,-0.06983995,-0.43974224,-0.2537238,-0.05580667,-1.8786241,1.5797389,0.8777349,2.3694794,-0.3720449,0.046364896,-2.0371683,0.384527,0.2185457,0.7675043,0.034247145,1.6983116,0,-0.07959974799190278
-2.5028036,1.2260102,-0.73309076,0.5916028,1.1222318,-1.0080094,-1.6119189,0.614454,-1.947646,0.67850643,-1.6414735,-0.70114654,0.2042566,-0.20214242,0.20791495,-0.26122558,-1.0720266,-0.8570153,-0.39603463,0.8823288,0,-0.026031897237541846
0.35186422,0.24400763,2.5837429,0.12620051,-1.4822918,-0.8526449,0.50661564,0.28302163,-3.0147743,0.54633886,2.68725,3.2083673,1.5180262,-0.8293615,1.5255911,1.2086581,0.63915694,-0.232192,0.3078676,2.4922228,0,-0.04842985089359664
0.28082776,-0.22344275,1.6382731,0.4867279,-2.1395648,0.72080255,-0.20559414,-0.32702753,2.1969156,-0.765969,-1.3865674,1.5894564,0.29936284,-2.1626997,1.7524421,0.26295075,-0.12323745,-0.11629172,0.4382855,-0.2910956,0,-0.059966047932577926
-0.61183655,1.2760988,1.2515529,0.6981644,-0.11813639,0.45468897,-1.0300759,-0.094012246,-0.16915374,-0.37819368,-1.2186847,1.5800352,0.68370914,-1.3917577,-0.3051623,0.6948162,0.48088264,0.45064294,-0.03882629,1.0416802,0,-0.10163857302709622
